Census,School,Category,Year,Students
09-Feb-24,Narrabundah Early Childhood School,Gov,Preschool,40
09-Feb-24,Narrabundah Early Childhood School,Gov,Kindergarten,30
09-Feb-24,Narrabundah Early Childhood School,Gov,Year 1,16
09-Feb-24,Narrabundah Early Childhood School,Gov,Year 2,12
09-Feb-24,Neville Bonner Primary School,Gov,Preschool,93
09-Feb-24,Neville Bonner Primary School,Gov,Kindergarten,85
09-Feb-24,Neville Bonner Primary School,Gov,Year 1,84
09-Feb-24,Neville Bonner Primary School,Gov,Year 2,101
09-Feb-24,Neville Bonner Primary School,Gov,Year 3,73
09-Feb-24,Neville Bonner Primary School,Gov,Year 4,101
09-Feb-24,Neville Bonner Primary School,Gov,Year 5,105
09-Feb-24,Neville Bonner Primary School,Gov,Year 6,95
09-Feb-24,Ngunnawal Primary School,Gov,Preschool,107
09-Feb-24,Ngunnawal Primary School,Gov,Kindergarten,83
09-Feb-24,Ngunnawal Primary School,Gov,Year 1,88
09-Feb-24,Ngunnawal Primary School,Gov,Year 2,107
09-Feb-24,Ngunnawal Primary School,Gov,Year 3,101
09-Feb-24,Ngunnawal Primary School,Gov,Year 4,83
09-Feb-24,Ngunnawal Primary School,Gov,Year 5,76
09-Feb-24,Ngunnawal Primary School,Gov,Year 6,75
09-Feb-24,North Ainslie Primary School,Gov,Preschool,61
09-Feb-24,North Ainslie Primary School,Gov,Kindergarten,70
09-Feb-24,North Ainslie Primary School,Gov,Year 1,75
09-Feb-24,North Ainslie Primary School,Gov,Year 2,61
09-Feb-24,North Ainslie Primary School,Gov,Year 3,78
09-Feb-24,North Ainslie Primary School,Gov,Year 4,96
09-Feb-24,North Ainslie Primary School,Gov,Year 5,84
09-Feb-24,North Ainslie Primary School,Gov,Year 6,88
09-Feb-24,O'Connor Cooperative School,Gov,Preschool,22
09-Feb-24,O'Connor Cooperative School,Gov,Kindergarten,20
09-Feb-24,O'Connor Cooperative School,Gov,Year 1,20
09-Feb-24,O'Connor Cooperative School,Gov,Year 2,19
09-Feb-24,Palmerston District Primary School,Gov,Preschool,104
09-Feb-24,Palmerston District Primary School,Gov,Kindergarten,104
09-Feb-24,Palmerston District Primary School,Gov,Year 1,106
09-Feb-24,Palmerston District Primary School,Gov,Year 2,89
09-Feb-24,Palmerston District Primary School,Gov,Year 3,103
09-Feb-24,Palmerston District Primary School,Gov,Year 4,97
09-Feb-24,Palmerston District Primary School,Gov,Year 5,86
09-Feb-24,Palmerston District Primary School,Gov,Year 6,79
09-Feb-24,Red Hill Primary School,Gov,Preschool,79
09-Feb-24,Red Hill Primary School,Gov,Kindergarten,79
09-Feb-24,Red Hill Primary School,Gov,Year 1,88
09-Feb-24,Red Hill Primary School,Gov,Year 2,115
09-Feb-24,Red Hill Primary School,Gov,Year 3,119
09-Feb-24,Red Hill Primary School,Gov,Year 4,112
09-Feb-24,Red Hill Primary School,Gov,Year 5,113
09-Feb-24,Red Hill Primary School,Gov,Year 6,114
09-Feb-24,Richardson Primary School,Gov,Preschool,32
09-Feb-24,Richardson Primary School,Gov,Kindergarten,21
09-Feb-24,Richardson Primary School,Gov,Year 1,17
09-Feb-24,Richardson Primary School,Gov,Year 2,28
09-Feb-24,Richardson Primary School,Gov,Year 3,20
09-Feb-24,Richardson Primary School,Gov,Year 4,16
09-Feb-24,Richardson Primary School,Gov,Year 5,21
09-Feb-24,Richardson Primary School,Gov,Year 6,19
09-Feb-24,Shirley Smith High School,Gov,Year 7,78
09-Feb-24,Southern Cross Early Childhood School,Gov,Preschool,89
09-Feb-24,Southern Cross Early Childhood School,Gov,Kindergarten,48
09-Feb-24,Southern Cross Early Childhood School,Gov,Year 1,37
09-Feb-24,Southern Cross Early Childhood School,Gov,Year 2,36
09-Feb-24,Taylor Primary School,Gov,Preschool,44
09-Feb-24,Taylor Primary School,Gov,Kindergarten,37
09-Feb-24,Taylor Primary School,Gov,Year 1,40
09-Feb-24,Taylor Primary School,Gov,Year 2,33
09-Feb-24,Taylor Primary School,Gov,Year 3,38
09-Feb-24,Taylor Primary School,Gov,Year 4,37
09-Feb-24,Taylor Primary School,Gov,Year 5,51
09-Feb-24,Taylor Primary School,Gov,Year 6,38
09-Feb-24,Telopea Park School,Gov,Kindergarten,84
09-Feb-24,Telopea Park School,Gov,Year 1,84
09-Feb-24,Telopea Park School,Gov,Year 2,84
09-Feb-24,Telopea Park School,Gov,Year 3,83
09-Feb-24,Telopea Park School,Gov,Year 4,80
09-Feb-24,Telopea Park School,Gov,Year 5,77
09-Feb-24,Telopea Park School,Gov,Year 6,82
09-Feb-24,Telopea Park School,Gov,Year 7,248
09-Feb-24,Telopea Park School,Gov,Year 8,261
09-Feb-24,Telopea Park School,Gov,Year 9,242
09-Feb-24,Telopea Park School,Gov,Year 10,265
09-Feb-24,Theodore Primary School,Gov,Preschool,29
09-Feb-24,Theodore Primary School,Gov,Kindergarten,22
09-Feb-24,Theodore Primary School,Gov,Year 1,22
09-Feb-24,Theodore Primary School,Gov,Year 2,47
09-Feb-24,Theodore Primary School,Gov,Year 3,27
09-Feb-24,Theodore Primary School,Gov,Year 4,31
09-Feb-24,Theodore Primary School,Gov,Year 5,36
09-Feb-24,Theodore Primary School,Gov,Year 6,34
09-Feb-24,Throsby School,Gov,Preschool,73
09-Feb-24,Throsby School,Gov,Kindergarten,69
09-Feb-24,Throsby School,Gov,Year 1,56
09-Feb-24,Throsby School,Gov,Year 2,46
09-Feb-24,Throsby School,Gov,Year 3,37
09-Feb-24,Throsby School,Gov,Year 4,29
09-Feb-24,Throsby School,Gov,Year 5,23
09-Feb-24,Throsby School,Gov,Year 6,18
09-Feb-24,Torrens Primary School,Gov,Preschool,65
09-Feb-24,Torrens Primary School,Gov,Kindergarten,57
09-Feb-24,Torrens Primary School,Gov,Year 1,47
09-Feb-24,Torrens Primary School,Gov,Year 2,44
09-Feb-24,Torrens Primary School,Gov,Year 3,61
09-Feb-24,Torrens Primary School,Gov,Year 4,58
09-Feb-24,Torrens Primary School,Gov,Year 5,63
09-Feb-24,Torrens Primary School,Gov,Year 6,56
09-Feb-24,Turner School,Gov,Preschool,26
09-Feb-24,Turner School,Gov,Kindergarten,47
09-Feb-24,Turner School,Gov,Year 1,40
09-Feb-24,Turner School,Gov,Year 2,57
09-Feb-24,Turner School,Gov,Year 3,55
09-Feb-24,Turner School,Gov,Year 4,47
09-Feb-24,Turner School,Gov,Year 5,58
09-Feb-24,Turner School,Gov,Year 6,67
09-Feb-24,University of Canberra High School Kaleen,Gov,Year 7,143
09-Feb-24,University of Canberra High School Kaleen,Gov,Year 8,148
09-Feb-24,University of Canberra High School Kaleen,Gov,Year 9,141
09-Feb-24,University of Canberra High School Kaleen,Gov,Year 10,131
09-Feb-24,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 11,438
09-Feb-24,University of Canberra Senior Secondary College Lake Ginninderra,Gov,Year 12,355
09-Feb-24,Wanniassa Hills Primary School,Gov,Preschool,41
09-Feb-24,Wanniassa Hills Primary School,Gov,Kindergarten,52
09-Feb-24,Wanniassa Hills Primary School,Gov,Year 1,44
09-Feb-24,Wanniassa Hills Primary School,Gov,Year 2,56
09-Feb-24,Wanniassa Hills Primary School,Gov,Year 3,53
09-Feb-24,Wanniassa Hills Primary School,Gov,Year 4,58
09-Feb-24,Wanniassa Hills Primary School,Gov,Year 5,47
09-Feb-24,Wanniassa Hills Primary School,Gov,Year 6,69
09-Feb-24,Wanniassa School,Gov,Preschool,2
09-Feb-24,Wanniassa School,Gov,Preschool,35
09-Feb-24,Wanniassa School,Gov,Kindergarten,30
09-Feb-24,Wanniassa School,Gov,Year 1,25
09-Feb-24,Wanniassa School,Gov,Year 2,27
09-Feb-24,Wanniassa School,Gov,Year 3,19
09-Feb-24,Wanniassa School,Gov,Year 4,28
09-Feb-24,Wanniassa School,Gov,Year 5,27
09-Feb-24,Wanniassa School,Gov,Year 6,26
09-Feb-24,Wanniassa School,Gov,Year 7,83
09-Feb-24,Wanniassa School,Gov,Year 8,79
09-Feb-24,Wanniassa School,Gov,Year 9,77
09-Feb-24,Wanniassa School,Gov,Year 10,79
09-Feb-24,Weetangera Primary School,Gov,Preschool,48
09-Feb-24,Weetangera Primary School,Gov,Kindergarten,35
09-Feb-24,Weetangera Primary School,Gov,Year 1,55
09-Feb-24,Weetangera Primary School,Gov,Year 2,59
09-Feb-24,Weetangera Primary School,Gov,Year 3,68
09-Feb-24,Weetangera Primary School,Gov,Year 4,68
09-Feb-24,Weetangera Primary School,Gov,Year 5,60
09-Feb-24,Weetangera Primary School,Gov,Year 6,69
09-Feb-24,"Woden School, The",Gov,Year 7,15
09-Feb-24,"Woden School, The",Gov,Year 8,17
09-Feb-24,"Woden School, The",Gov,Year 9,20
09-Feb-24,"Woden School, The",Gov,Year 10,12
09-Feb-24,"Woden School, The",Gov,Year 11,15
09-Feb-24,"Woden School, The",Gov,Year 12,14
09-Feb-24,Yarralumla Primary School,Gov,Preschool,2
09-Feb-24,Yarralumla Primary School,Gov,Preschool,40
09-Feb-24,Yarralumla Primary School,Gov,Kindergarten,40
09-Feb-24,Yarralumla Primary School,Gov,Year 1,41
09-Feb-24,Yarralumla Primary School,Gov,Year 2,42
09-Feb-24,Yarralumla Primary School,Gov,Year 3,49
09-Feb-24,Yarralumla Primary School,Gov,Year 4,55
09-Feb-24,Yarralumla Primary School,Gov,Year 5,44
09-Feb-24,Yarralumla Primary School,Gov,Year 6,46
09-Feb-24,Blue Gum Community School,Non Gov,Preschool,23
09-Feb-24,Blue Gum Community School,Non Gov,Preschool,54
09-Feb-24,Blue Gum Community School,Non Gov,Kindergarten,20
09-Feb-24,Blue Gum Community School,Non Gov,Year 1,20
09-Feb-24,Blue Gum Community School,Non Gov,Year 2,12
09-Feb-24,Blue Gum Community School,Non Gov,Year 3,16
09-Feb-24,Blue Gum Community School,Non Gov,Year 4,22
09-Feb-24,Blue Gum Community School,Non Gov,Year 5,20
09-Feb-24,Blue Gum Community School,Non Gov,Year 6,16
09-Feb-24,Blue Gum Community School,Non Gov,Year 7,9
09-Feb-24,Blue Gum Community School,Non Gov,Year 8,12
09-Feb-24,Blue Gum Community School,Non Gov,Year 9,7
09-Feb-24,Brindabella Christian College,Non Gov,Preschool,41
09-Feb-24,Brindabella Christian College,Non Gov,Kindergarten,56
09-Feb-24,Brindabella Christian College,Non Gov,Year 1,62
09-Feb-24,Brindabella Christian College,Non Gov,Year 2,94
09-Feb-24,Brindabella Christian College,Non Gov,Year 3,94
09-Feb-24,Brindabella Christian College,Non Gov,Year 4,82
09-Feb-24,Brindabella Christian College,Non Gov,Year 5,98
09-Feb-24,Brindabella Christian College,Non Gov,Year 6,99
09-Feb-24,Brindabella Christian College,Non Gov,Year 7,140
09-Feb-24,Brindabella Christian College,Non Gov,Year 8,139
09-Feb-24,Brindabella Christian College,Non Gov,Year 9,109
09-Feb-24,Brindabella Christian College,Non Gov,Year 10,80
09-Feb-24,Brindabella Christian College,Non Gov,Year 11,70
09-Feb-24,Brindabella Christian College,Non Gov,Year 12,66
09-Feb-24,Burgmann Anglican School,Non Gov,Preschool,44
09-Feb-24,Burgmann Anglican School,Non Gov,Kindergarten,102
09-Feb-24,Burgmann Anglican School,Non Gov,Year 1,104
09-Feb-24,Burgmann Anglican School,Non Gov,Year 2,105
09-Feb-24,Burgmann Anglican School,Non Gov,Year 3,112
09-Feb-24,Burgmann Anglican School,Non Gov,Year 4,110
09-Feb-24,Burgmann Anglican School,Non Gov,Year 5,113
09-Feb-24,Burgmann Anglican School,Non Gov,Year 6,139
09-Feb-24,Burgmann Anglican School,Non Gov,Year 7,166
09-Feb-24,Burgmann Anglican School,Non Gov,Year 8,168
09-Feb-24,Burgmann Anglican School,Non Gov,Year 9,163
09-Feb-24,Burgmann Anglican School,Non Gov,Year 10,154
09-Feb-24,Burgmann Anglican School,Non Gov,Year 11,139
09-Feb-24,Burgmann Anglican School,Non Gov,Year 12,136
09-Feb-24,Canberra Christian School,Non Gov,Preschool,31
09-Feb-24,Canberra Christian School,Non Gov,Kindergarten,26
09-Feb-24,Canberra Christian School,Non Gov,Year 1,42
09-Feb-24,Canberra Christian School,Non Gov,Year 2,41
09-Feb-24,Canberra Christian School,Non Gov,Year 3,28
09-Feb-24,Canberra Christian School,Non Gov,Year 4,28
09-Feb-24,Canberra Christian School,Non Gov,Year 5,29
09-Feb-24,Canberra Christian School,Non Gov,Year 6,19
09-Feb-24,Canberra Girls Grammar School,Non Gov,Preschool,52
09-Feb-24,Canberra Girls Grammar School,Non Gov,Preschool,98
09-Feb-24,Canberra Girls Grammar School,Non Gov,Kindergarten,60
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 1,63
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 2,69
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 3,68
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 4,70
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 5,69
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 6,79
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 7,115
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 8,113
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 9,107
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 10,96
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 11,120
09-Feb-24,Canberra Girls Grammar School,Non Gov,Year 12,111
09-Feb-24,Canberra Grammar School,Non Gov,Preschool,70
09-Feb-24,Canberra Grammar School,Non Gov,Kindergarten,92
09-Feb-24,Canberra Grammar School,Non Gov,Year 1,92
09-Feb-24,Canberra Grammar School,Non Gov,Year 2,92
09-Feb-24,Canberra Grammar School,Non Gov,Year 3,116
09-Feb-24,Canberra Grammar School,Non Gov,Year 4,122
09-Feb-24,Canberra Grammar School,Non Gov,Year 5,143
09-Feb-24,Canberra Grammar School,Non Gov,Year 6,146
09-Feb-24,Canberra Grammar School,Non Gov,Year 7,217
09-Feb-24,Canberra Grammar School,Non Gov,Year 8,222
09-Feb-24,Canberra Grammar School,Non Gov,Year 9,227
09-Feb-24,Canberra Grammar School,Non Gov,Year 10,233
09-Feb-24,Canberra Grammar School,Non Gov,Year 11,227
09-Feb-24,Canberra Grammar School,Non Gov,Year 12,210
09-Feb-24,Canberra Montessori School,Non Gov,Preschool,30
09-Feb-24,Canberra Montessori School,Non Gov,Kindergarten,19
09-Feb-24,Canberra Montessori School,Non Gov,Year 1,16
09-Feb-24,Canberra Montessori School,Non Gov,Year 2,17
09-Feb-24,Canberra Montessori School,Non Gov,Year 3,11
09-Feb-24,Canberra Montessori School,Non Gov,Year 4,9
09-Feb-24,Canberra Montessori School,Non Gov,Year 5,6
09-Feb-24,Canberra Montessori School,Non Gov,Year 6,9
09-Feb-24,Communities@Work Galilee School,Non Gov,Year 7,5
09-Feb-24,Communities@Work Galilee School,Non Gov,Year 8,10
09-Feb-24,Communities@Work Galilee School,Non Gov,Year 9,20
09-Feb-24,Communities@Work Galilee School,Non Gov,Year 10,21
09-Feb-24,Communities@Work Galilee School,Non Gov,Year 11,27
09-Feb-24,Communities@Work Galilee School,Non Gov,Year 12,18
09-Feb-24,Covenant Christian School,Non Gov,Preschool,28
09-Feb-24,Covenant Christian School,Non Gov,Kindergarten,20
09-Feb-24,Covenant Christian School,Non Gov,Year 1,24
09-Feb-24,Covenant Christian School,Non Gov,Year 2,19
09-Feb-24,Covenant Christian School,Non Gov,Year 3,28
09-Feb-24,Covenant Christian School,Non Gov,Year 4,23
09-Feb-24,Covenant Christian School,Non Gov,Year 5,25
09-Feb-24,Covenant Christian School,Non Gov,Year 6,23
09-Feb-24,Covenant Christian School,Non Gov,Year 7,41
09-Feb-24,Covenant Christian School,Non Gov,Year 8,23
09-Feb-24,Covenant Christian School,Non Gov,Year 9,44
09-Feb-24,Covenant Christian School,Non Gov,Year 10,15
09-Feb-24,Daramalan College,Non Gov,Year 7,256
09-Feb-24,Daramalan College,Non Gov,Year 8,256
09-Feb-24,Daramalan College,Non Gov,Year 9,264
09-Feb-24,Daramalan College,Non Gov,Year 10,263
09-Feb-24,Daramalan College,Non Gov,Year 11,242
09-Feb-24,Daramalan College,Non Gov,Year 12,224
09-Feb-24,Emmaus Christian School,Non Gov,Preschool,39
09-Feb-24,Emmaus Christian School,Non Gov,Kindergarten,50
09-Feb-24,Emmaus Christian School,Non Gov,Year 1,48
09-Feb-24,Emmaus Christian School,Non Gov,Year 2,53
09-Feb-24,Emmaus Christian School,Non Gov,Year 3,52
09-Feb-24,Emmaus Christian School,Non Gov,Year 4,53
09-Feb-24,Emmaus Christian School,Non Gov,Year 5,50
09-Feb-24,Emmaus Christian School,Non Gov,Year 6,52
09-Feb-24,Emmaus Christian School,Non Gov,Year 7,53
09-Feb-24,Emmaus Christian School,Non Gov,Year 8,52
09-Feb-24,Emmaus Christian School,Non Gov,Year 9,51
09-Feb-24,Emmaus Christian School,Non Gov,Year 10,24
09-Feb-24,Good Shepherd Primary School,Non Gov,Kindergarten,112
09-Feb-24,Good Shepherd Primary School,Non Gov,Year 1,113
09-Feb-24,Good Shepherd Primary School,Non Gov,Year 2,112
09-Feb-24,Good Shepherd Primary School,Non Gov,Year 3,109
09-Feb-24,Good Shepherd Primary School,Non Gov,Year 4,110
09-Feb-24,Good Shepherd Primary School,Non Gov,Year 5,110
09-Feb-24,Good Shepherd Primary School,Non Gov,Year 6,101
09-Feb-24,Holy Family Primary School,Non Gov,Preschool,103
09-Feb-24,Holy Family Primary School,Non Gov,Kindergarten,94
09-Feb-24,Holy Family Primary School,Non Gov,Year 1,89
09-Feb-24,Holy Family Primary School,Non Gov,Year 2,92
09-Feb-24,Holy Family Primary School,Non Gov,Year 3,89
09-Feb-24,Holy Family Primary School,Non Gov,Year 4,75
09-Feb-24,Holy Family Primary School,Non Gov,Year 5,91
09-Feb-24,Holy Family Primary School,Non Gov,Year 6,68
09-Feb-24,Holy Spirit Primary School,Non Gov,Preschool,102
09-Feb-24,Holy Spirit Primary School,Non Gov,Kindergarten,97
09-Feb-24,Holy Spirit Primary School,Non Gov,Year 1,98
09-Feb-24,Holy Spirit Primary School,Non Gov,Year 2,114
09-Feb-24,Holy Spirit Primary School,Non Gov,Year 3,116
09-Feb-24,Holy Spirit Primary School,Non Gov,Year 4,101
09-Feb-24,Holy Spirit Primary School,Non Gov,Year 5,99
09-Feb-24,Holy Spirit Primary School,Non Gov,Year 6,108
09-Feb-24,Holy Trinity Primary School,Non Gov,Preschool,59
09-Feb-24,Holy Trinity Primary School,Non Gov,Kindergarten,66
09-Feb-24,Holy Trinity Primary School,Non Gov,Year 1,52
09-Feb-24,Holy Trinity Primary School,Non Gov,Year 2,51
09-Feb-24,Holy Trinity Primary School,Non Gov,Year 3,74
09-Feb-24,Holy Trinity Primary School,Non Gov,Year 4,44
09-Feb-24,Holy Trinity Primary School,Non Gov,Year 5,53
09-Feb-24,Holy Trinity Primary School,Non Gov,Year 6,42
09-Feb-24,Islamic School of Canberra,Non Gov,Kindergarten,30
09-Feb-24,Islamic School of Canberra,Non Gov,Year 1,31
09-Feb-24,Islamic School of Canberra,Non Gov,Year 2,46
09-Feb-24,Islamic School of Canberra,Non Gov,Year 3,45
09-Feb-24,Islamic School of Canberra,Non Gov,Year 4,36
09-Feb-24,Islamic School of Canberra,Non Gov,Year 5,29
09-Feb-24,Islamic School of Canberra,Non Gov,Year 6,41
09-Feb-24,Islamic School of Canberra,Non Gov,Year 7,29
09-Feb-24,Islamic School of Canberra,Non Gov,Year 8,40
09-Feb-24,Islamic School of Canberra,Non Gov,Year 9,29
09-Feb-24,Islamic School of Canberra,Non Gov,Year 10,24
09-Feb-24,Marist College Canberra,Non Gov,Year 4,142
09-Feb-24,Marist College Canberra,Non Gov,Year 5,150
09-Feb-24,Marist College Canberra,Non Gov,Year 6,165
09-Feb-24,Marist College Canberra,Non Gov,Year 7,247
09-Feb-24,Marist College Canberra,Non Gov,Year 8,252
09-Feb-24,Marist College Canberra,Non Gov,Year 9,223
09-Feb-24,Marist College Canberra,Non Gov,Year 10,244
09-Feb-24,Marist College Canberra,Non Gov,Year 11,213
09-Feb-24,Marist College Canberra,Non Gov,Year 12,209
09-Feb-24,Merici College,Non Gov,Year 7,192
09-Feb-24,Merici College,Non Gov,Year 8,182
09-Feb-24,Merici College,Non Gov,Year 9,189
09-Feb-24,Merici College,Non Gov,Year 10,148
09-Feb-24,Merici College,Non Gov,Year 11,115
09-Feb-24,Merici College,Non Gov,Year 12,89
09-Feb-24,Mother Teresa School,Non Gov,Preschool,99
09-Feb-24,Mother Teresa School,Non Gov,Kindergarten,78
09-Feb-24,Mother Teresa School,Non Gov,Year 1,99
09-Feb-24,Mother Teresa School,Non Gov,Year 2,103
09-Feb-24,Mother Teresa School,Non Gov,Year 3,104
09-Feb-24,Mother Teresa School,Non Gov,Year 4,106
09-Feb-24,Mother Teresa School,Non Gov,Year 5,103
09-Feb-24,Mother Teresa School,Non Gov,Year 6,98
09-Feb-24,Orana Steiner School,Non Gov,Preschool,37
09-Feb-24,Orana Steiner School,Non Gov,Kindergarten,37
09-Feb-24,Orana Steiner School,Non Gov,Year 1,33
09-Feb-24,Orana Steiner School,Non Gov,Year 2,33
09-Feb-24,Orana Steiner School,Non Gov,Year 3,27
09-Feb-24,Orana Steiner School,Non Gov,Year 4,35
09-Feb-24,Orana Steiner School,Non Gov,Year 5,29
09-Feb-24,Orana Steiner School,Non Gov,Year 6,46
09-Feb-24,Orana Steiner School,Non Gov,Year 7,46
09-Feb-24,Orana Steiner School,Non Gov,Year 8,51
09-Feb-24,Orana Steiner School,Non Gov,Year 9,34
09-Feb-24,Orana Steiner School,Non Gov,Year 10,41
09-Feb-24,Orana Steiner School,Non Gov,Year 11,18
09-Feb-24,Orana Steiner School,Non Gov,Year 12,22
09-Feb-24,Radford College,Non Gov,Preschool,88
09-Feb-24,Radford College,Non Gov,Kindergarten,92
09-Feb-24,Radford College,Non Gov,Year 1,92
09-Feb-24,Radford College,Non Gov,Year 2,93
09-Feb-24,Radford College,Non Gov,Year 3,130
09-Feb-24,Radford College,Non Gov,Year 4,130
09-Feb-24,Radford College,Non Gov,Year 5,130
09-Feb-24,Radford College,Non Gov,Year 6,130
09-Feb-24,Radford College,Non Gov,Year 7,216
09-Feb-24,Radford College,Non Gov,Year 8,216
09-Feb-24,Radford College,Non Gov,Year 9,216
09-Feb-24,Radford College,Non Gov,Year 10,215
09-Feb-24,Radford College,Non Gov,Year 11,217
09-Feb-24,Radford College,Non Gov,Year 12,211
09-Feb-24,Rosary Primary School,Non Gov,Kindergarten,41
09-Feb-24,Rosary Primary School,Non Gov,Year 1,41
09-Feb-24,Rosary Primary School,Non Gov,Year 2,50
09-Feb-24,Rosary Primary School,Non Gov,Year 3,72
09-Feb-24,Rosary Primary School,Non Gov,Year 4,52
09-Feb-24,Rosary Primary School,Non Gov,Year 5,56
09-Feb-24,Rosary Primary School,Non Gov,Year 6,51
09-Feb-24,Sacred Heart Primary School,Non Gov,Kindergarten,18
09-Feb-24,Sacred Heart Primary School,Non Gov,Year 1,32
09-Feb-24,Sacred Heart Primary School,Non Gov,Year 2,39
09-Feb-24,Sacred Heart Primary School,Non Gov,Year 3,26
09-Feb-24,Sacred Heart Primary School,Non Gov,Year 4,21
09-Feb-24,Sacred Heart Primary School,Non Gov,Year 5,19
09-Feb-24,Sacred Heart Primary School,Non Gov,Year 6,37
09-Feb-24,St Anthony's Parish Primary School,Non Gov,Preschool,60
09-Feb-24,St Anthony's Parish Primary School,Non Gov,Kindergarten,45
09-Feb-24,St Anthony's Parish Primary School,Non Gov,Year 1,52
09-Feb-24,St Anthony's Parish Primary School,Non Gov,Year 2,54
